month,Store,NPS,count_of_responses
2024-01,TUCURUVI,83.33333333333333,42
2024-02,BELO HORIZONTE,70.45454545454545,44
2024-02,CAMPINAS,100.0,31
2024-02,COPACABANA,87.14285714285714,70
2024-02,IPIRANGA,71.42857142857143,63
2024-02,ITAIM,18.75,16
2024-02,JARDINS,77.96610169491525,59
2024-02,LAPA,72.3404255319149,47
2024-02,LONDRINA,89.99999999999999,40
2024-02,MOEMA,66.66666666666667,39
2024-02,MOOCA,95.23809523809523,21
2024-02,OSASCO,75.67567567567568,37
2024-02,RIBEIRÃO PRETO,73.33333333333334,15
2024-02,SANTO AMARO,79.06976744186046,43
2024-02,SANTOS,76.5625,64
2024-02,SOROCABA,69.23076923076923,26
2024-02,TATUAPÉ,75.0,60
2024-02,TIJUCA,95.34883720930233,86
2024-02,TUCURUVI,70.96774193548387,31
2024-03,BELO HORIZONTE,69.76744186046511,43
2024-03,CAMPINAS,79.24528301886792,53
2024-03,COPACABANA,70.37037037037037,54
2024-03,IPIRANGA,81.3953488372093,43
2024-03,ITAIM,47.36842105263158,19
2024-03,JARDINS,69.44444444444444,72
2024-03,LAPA,69.04761904761905,42
2024-03,LONDRINA,89.36170212765957,47
2024-03,MOEMA,57.14285714285714,35
2024-03,MOOCA,78.125,32
2024-03,OSASCO,76.3157894736842,38
2024-03,RIBEIRÃO PRETO,93.10344827586206,29
2024-03,SANTO AMARO,63.41463414634146,41
2024-03,SANTOS,64.86486486486487,37
2024-03,SOROCABA,66.66666666666667,39
2024-03,TATUAPÉ,63.52941176470588,85
2024-03,TIJUCA,92.3076923076923,78
2024-03,TUCURUVI,78.37837837837837,37
2024-04,BELO HORIZONTE,80.95238095238095,42
2024-04,CAMPINAS,77.55102040816327,49
2024-04,COPACABANA,81.0126582278481,79
2024-04,IPIRANGA,88.40579710144928,69
2024-04,ITAIM,35.29411764705882,17
2024-04,JARDINS,60.46511627906976,86
2024-04,LAPA,73.13432835820896,67
2024-04,LONDRINA,80.76923076923077,52
2024-04,MOEMA,86.04651162790698,43
2024-04,MOOCA,86.8421052631579,38
